                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                 M_center                                 R_center                                 L_center                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     350                                      682                  1.0000000000000000E+000                  2.0000000000000000E-002                  7.3316048524025818E+006                  2.4654692937649621E+005                  4.1821787089137998E+028                  1.0787611766561859E+009                  2.0902587537269827E+021                  1.0426817566149278E+002                  4.4085965158086600E-011                  2.0375368086679804E-002                 -1.9999990075222829E+001                  7.3000000000000009E-001                  2.6605031474230906E-005                  2.4997339496852575E-001                  3.4416073257059884E-003                  1.0081585205319679E-003                  9.3604492797742141E-003                  2.0994604783340916E-003                  2.1236793375712682E-005                  0.0000000000000000E+000                  1.5502859164270063E-007                  5.6500555617256504E-012                  5.3086333383719186E-008                  7.3088703656356034E-010                  2.1410054190501312E-010                  1.9878592725840077E-009                  4.4585808378855398E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1236785399833411E-005                  2.0308981485282391E-002                  2.1236754438668115E-005                  2.0206367652120756E-002                  6.3189845776888569E+003                  1.1785597523888243E+010                  4.8171324591761290E+015                  4.3643918621514675E-027                  4.3643918621514675E-027                  0.0000000000000000E+000                  1.7462710661525851E-028                  5.0000000000000000E+001                  1.0000000000000000E+003                  2.3137188555554288E+014 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                radius_cm                               mass_grams                              temperature                                   energy                                  density                                  entropy                                     logS                                 pressure                                       mu                                    grada                                       cv                                       cp                                   gamma1                                  opacity                               luminosity                                     logL                                    gradT                             d_gradT_dlnR                             actual_gradT                                    gradr                                    gradL                               sch_stable                            ledoux_stable                                      tau                               extra_heat                     log_irradiation_heat 
                                       1                  2.1236793375712682E-005                 -1.6908945368667609E+000                  2.0181517760870720E+000                 -4.1306732379995124E+000                  5.4394884611396526E+000                  7.3000000000000020E-001                  2.4999999999999992E-001                  1.9999999999999907E-002                  1.4180848680967410E+009                  4.2244229382967669E+028                  1.0426817593910212E+002                  5.5751038063350554E+009                  7.4016196147702116E-005                  5.5848500150045011E+000                  8.6668462140550702E+000                  2.7509865124869905E+005                  6.0287236325717453E-001                  3.9999999999869967E-001                  5.3468891693544611E+007                  8.9114819489241004E+007                  1.6666666666648604E+000                  3.3977205570713395E-003                  4.4085965158086600E-011                 -1.0355699646915646E+001                  1.2500000133129455E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2500000133129455E-001                  3.9999999999869967E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666666666666663E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       2                  2.1236793375712577E-005                 -1.6908945369013457E+000                  2.0181517812903720E+000                 -4.1306732015764176E+000                  5.4394885027660482E+000                  7.3000000000000020E-001                  2.4999999999999992E-001                  1.9999999999999907E-002                  1.4180848679838130E+009                  4.2244229382967457E+028                  1.0426817718834342E+002                  5.5751038731305981E+009                  7.4016202355239123E-005                  5.5848499867536008E+000                  8.6668462118581964E+000                  2.7509867761644325E+005                  6.0287236325717453E-001                  3.9999999999869973E-001                  5.3468891693544604E+007                  8.9114819489240989E+007                  1.6666666666648604E+000                  3.3977209227768670E-003                  4.4085965158085831E-011                 -1.0355699646915655E+001                  1.2500000565231423E-001                  0.0000000000000000E+000                  1.2500000998129487E-001                  1.2500000565231423E-001                  3.9999999999869967E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666669506616993E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       3                  2.1236793375712205E-005                 -1.6908945370223896E+000                  2.0181517965389322E+000                 -4.1306730948365367E+000                  5.4394886247544889E+000                  7.3000000000000020E-001                  2.4999999999999992E-001                  1.9999999999999907E-002                  1.4180848675885730E+009                  4.2244229382966719E+028                  1.0426818084931469E+002                  5.5751040688786697E+009                  7.4016220546770209E-005                  5.5848499039627741E+000                  8.6668462054201356E+000                  2.7509875488858181E+005                  6.0287236325717453E-001                  3.9999999999869973E-001                  5.3468891693544611E+007                  8.9114819489241004E+007                  1.6666666666648604E+000                  3.3977219944972483E-003                  4.4085965158083098E-011                 -1.0355699646915681E+001                  1.2500003589945871E-001                  0.0000000000000000E+000                  1.2500003630539447E-001                  1.2500003589945871E-001                  3.9999999999869973E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666679446444221E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       4                  2.1236793375711175E-005                 -1.6908945373574262E+000                  2.0181518359250341E+000                 -4.1306728191341699E+000                  5.4394889398429580E+000                  7.3000000000000032E-001                  2.4999999999999981E-001                  1.9999999999999907E-002                  1.4180848664945908E+009                  4.2244229382964669E+028                  1.0426819030538084E+002                  5.5751045744840555E+009                  7.4016267534366206E-005                  5.5848496901193485E+000                  8.6668461887910375E+000                  2.7509895447775593E+005                  6.0287236325717453E-001                  3.9999999999869973E-001                  5.3468891693544604E+007                  8.9114819489241004E+007                  1.6666666666648604E+000                  3.3977247626854321E-003                  4.4085965158075569E-011                 -1.0355699646915756E+001                  1.2500011961924029E-001                  0.0000000000000000E+000                  1.2500011923712873E-001                  1.2500011961924029E-001                  3.9999999999869973E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666706958474731E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       5                  2.1236793375708590E-005                 -1.6908945382004150E+000                  2.0181519063864548E+000                 -4.1306723259057740E+000                  5.4394895035327728E+000                  7.3000000000000020E-001                  2.4999999999999992E-001                  1.9999999999999907E-002                  1.4180848637420120E+009                  4.2244229382959523E+028                  1.0426820722220977E+002                  5.5751054790081453E+009                  7.4016351594715003E-005                  5.5848493075560848E+000                  8.6668461590417820E+000                  2.7509931154096033E+005                  6.0287236325717453E-001                  3.9999999999869978E-001                  5.3468891693544596E+007                  8.9114819489241004E+007                  1.6666666666648609E+000                  3.3977297149504742E-003                  4.4085965158056589E-011                 -1.0355699646915943E+001                  1.2500033026905785E-001                  0.0000000000000000E+000                  1.2500033027822022E-001                  1.2500033026905785E-001                  3.9999999999869978E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666776182350018E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       6                  2.1236793375704707E-005                 -1.6908945394648984E+000                  2.0181520173181329E+000                 -4.1306715493888078E+000                  5.4394903909814190E+000                  7.3000000000000020E-001                  2.4999999999999994E-001                  1.9999999999999796E-002                  1.4180848596131442E+009                  4.2244229382951800E+028                  1.0426823385540253E+002                  5.5751069030554533E+009                  7.4016483935802839E-005                  5.5848487052658982E+000                  8.6668461122059046E+000                  2.7509987368662708E+005                  6.0287236325717453E-001                  3.9999999999869978E-001                  5.3468891693544611E+007                  8.9114819489241049E+007                  1.6666666666648609E+000                  3.3977375115978219E-003                  4.4085965158028135E-011                 -1.0355699646916223E+001                  1.2500064624390203E-001                  0.0000000000000000E+000                  1.2500064620373794E-001                  1.2500064624390203E-001                  3.9999999999869973E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666880018314800E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       7                  2.1236793375698401E-005                 -1.6908945415183296E+000                  2.0181521943754879E+000                 -4.1306703100009114E+000                  5.4394918074266698E+000                  7.3000000000000009E-001                  2.4999999999999992E-001                  2.0000000000000018E-002                  1.4180848529081552E+009                  4.2244229382939257E+028                  1.0426827636448846E+002                  5.5751091759691458E+009                  7.4016695164057087E-005                  5.5848477439602142E+000                  8.6668460374519025E+000                  2.7510077092239930E+005                  6.0287236325717464E-001                  3.9999999999869973E-001                  5.3468891693544596E+007                  8.9114819489241004E+007                  1.6666666666648604E+000                  3.3977499557695046E-003                  4.4085965157981910E-011                 -1.0355699646916678E+001                  1.2500115936575007E-001                  0.0000000000000000E+000                  1.2500115918132490E-001                  1.2500115936575007E-001                  3.9999999999869973E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6667048641209936E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       8                  2.1236793375688447E-005                 -1.6908945447605805E+000                  2.0181524762225918E+000                 -4.1306683371078972E+000                  5.4394940621667880E+000                  7.3000000000000020E-001                  2.4999999999999992E-001                  1.9999999999999907E-002                  1.4180848423213594E+009                  4.2244229382919457E+028                  1.0426834403221733E+002                  5.5751127940876112E+009                  7.4017031404462167E-005                  5.5848462137295751E+000                  8.6668459184565698E+000                  2.7510219917530310E+005                  6.0287236325717453E-001                  3.9999999999869984E-001                  5.3468891693544596E+007                  8.9114819489241004E+007                  1.6666666666648609E+000                  3.3977697648879153E-003                  4.4085965157908931E-011                 -1.0355699646917397E+001                  1.2500196955891224E-001                  0.0000000000000000E+000                  1.2500196978098202E-001                  1.2500196955891224E-001                  3.9999999999869978E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6667314888864837E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       9                  2.1236793375672519E-005                 -1.6908945499481594E+000                  2.0181529026083815E+000                 -4.1306653524986716E+000                  5.4394974731618033E+000                  7.3000000000000020E-001                  2.4999999999999992E-001                  1.9999999999999907E-002                  1.4180848253825607E+009                  4.2244229382887774E+028                  1.0426844640183954E+002                  5.5751182676778641E+009                  7.4017540074691802E-005                  5.5848438987912958E+000                  8.6668457384399513E+000                  2.7510435986569722E+005                  6.0287236325717453E-001                  3.9999999999869973E-001                  5.3468891693544604E+007                  8.9114819489241019E+007                  1.6666666666648606E+000                  3.3977997325965598E-003                  4.4085965157792169E-011                 -1.0355699646918547E+001                  1.2500326586991095E-001                  0.0000000000000000E+000                  1.2500326579943255E-001                  1.2500326586991095E-001                  3.9999999999869984E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6667740887604532E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
